type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,1
2,0,0,0,0,0
3,1,1,85,2,1
3,1,2,90,4,1
3,1,4,92,2,1
3,1,7,42,22,1
3,1,7,61,13,1
3,1,7,66,15,1
3,1,7,70,15,1
3,1,7,78,20,1
3,1,7,94,12,1
3,1,12,49,21,1
3,1,12,70,8,1
3,2,6,54,20,1
3,2,6,73,7,1
3,2,6,92,8,1
3,2,12,61,9,1
3,2,12,70,19,1
3,3,6,66,12,1
3,3,6,70,12,1
3,3,6,97,9,1
3,4,5,61,9,1
3,5,2,65,2,1
3,5,3,85,3,1
3,5,4,73,17,1
3,5,5,89,1,1
3,5,6,46,21,1
3,5,6,61,13,1
3,5,6,65,13,1
3,5,7,92,10,1
3,5,12,68,7,1
3,6,5,58,13,1
3,6,6,73,7,1
3,6,6,89,9,1
3,6,12,61,5,1
3,6,12,68,19,1
3,7,6,61,13,1
3,7,6,65,15,1
3,7,6,97,11,1
3,8,5,58,19,1
3,9,5,78,6,1
3,9,5,82,6,1
3,9,6,39,20,1
3,9,6,63,15,1
3,9,6,66,15,1
3,9,6,75,20,1
3,9,6,87,5,1
3,9,12,46,19,1
3,9,12,82,11,1
3,9,12,85,4,1
3,10,6,51,14,1
3,10,6,99,5,1
3,10,12,58,7,1
3,10,12,85,5,1
3,11,6,63,13,1
3,11,6,66,13,1
3,11,6,82,15,1
3,11,6,97,5,1
3,11,12,51,4,1
3,12,6,58,12,1
3,12,6,94,9,1
3,13,3,85,3,1
3,13,4,89,2,1
3,13,5,37,23,1
3,13,5,61,16,1
3,13,5,65,15,1
3,13,6,73,22,1
3,13,6,92,15,1
3,13,12,44,21,1
3,14,5,49,20,1
3,14,6,77,12,1
3,14,6,94,7,1
3,14,11,56,8,1
3,15,6,61,18,1
3,15,6,65,18,1
3,15,6,80,15,1
3,15,6,97,10,1
3,16,6,56,11,1
3,17,6,42,15,1
3,17,6,73,6,1
3,17,12,49,15,1
3,18,3,70,4,1
3,18,6,61,7,1
3,18,6,73,6,1
3,18,12,58,14,1
3,18,12,70,7,1
3,19,6,41,17,1
3,19,6,73,8,1
3,19,12,49,13,1
3,20,6,61,12,1
3,20,6,73,5,1
3,20,12,56,7,1
3,20,12,80,5,1
3,21,6,39,15,1
3,21,6,78,8,1
3,21,12,46,12,1
3,22,3,70,2,1
3,22,6,54,8,1
3,22,6,70,6,1
3,22,12,58,6,1
3,22,12,75,5,1
3,23,6,46,17,1
3,23,6,73,15,1
3,23,12,53,13,1
3,24,6,61,11,1
3,25,6,47,15,1
3,25,6,75,7,1
3,25,12,54,11,1
3,26,3,73,2,1
3,26,6,59,6,1
3,26,6,75,3,1
3,26,12,63,7,1
3,26,12,75,3,1
3,27,6,46,15,1
3,27,6,73,5,1
3,27,12,53,12,1
3,28,6,61,12,1
3,28,6,66,7,1
3,28,12,65,6,1
3,28,12,70,5,1
3,29,6,44,16,1
3,29,6,68,7,1
3,29,12,47,12,1
3,30,3,66,5,1
3,30,6,63,6,1
3,30,9,59,6,1
3,30,12,70,6,1
3,31,6,49,16,1
3,31,6,68,16,1
3,31,12,56,12,1
3,32,6,61,6,1
3,32,12,65,7,1
3,33,6,42,15,1
3,33,6,73,5,1
3,33,12,49,15,1
3,34,3,70,2,1
3,34,6,58,12,1
3,34,6,73,7,1
3,34,12,61,7,1
3,34,12,70,6,1
3,35,6,41,15,1
3,35,6,73,7,1
3,35,12,49,11,1
3,36,6,61,8,1
3,36,6,73,5,1
3,36,12,56,7,1
3,36,12,80,4,1
3,37,6,39,14,1
3,37,6,78,6,1
3,37,12,46,12,1
3,38,3,80,2,1
3,38,6,54,8,1
3,38,6,82,6,1
3,38,12,58,4,1
3,38,12,70,7,1
3,39,6,46,13,1
3,39,6,73,11,1
3,39,12,53,10,1
3,40,6,61,12,1
3,40,6,73,7,1
3,40,12,66,6,1
3,40,12,75,5,1
3,41,6,47,17,1
3,41,6,78,8,1
3,41,12,54,12,1
3,42,3,75,4,1
3,42,6,59,8,1
3,42,6,73,5,1
3,42,12,63,5,1
3,42,12,75,3,1
3,43,6,46,15,1
3,43,6,78,12,1
3,43,12,53,11,1
3,44,6,61,8,1
3,44,6,73,8,1
3,44,12,65,4,1
3,44,12,75,5,1
3,45,6,44,12,1
3,45,6,59,7,1
3,45,6,63,6,1
3,45,6,82,7,1
3,46,3,80,2,1
3,46,6,49,7,1
3,46,6,65,7,1
3,46,6,68,6,1
3,46,6,78,6,1
3,46,12,75,3,1
3,47,6,42,17,1
3,47,6,58,18,1
3,47,6,61,18,1
3,47,6,78,16,1
3,47,12,49,15,1
3,48,6,54,7,1
3,48,12,66,5,1
3,49,6,42,17,1
3,49,6,58,14,1
3,49,6,61,14,1
3,49,6,73,6,1
3,49,12,49,14,1
3,50,3,70,4,1
3,50,6,54,11,1
3,50,6,73,6,1
3,50,12,58,7,1
3,50,12,70,7,1
3,51,6,41,15,1
3,51,6,73,8,1
3,51,12,56,10,1
3,52,6,61,10,1
3,52,6,73,5,1
3,52,12,56,6,1
3,52,12,80,5,1
3,53,6,51,15,1
3,53,6,78,8,1
3,53,12,58,12,1
3,54,3,70,2,1
3,54,6,63,6,1
3,54,6,70,6,1
3,54,12,66,7,1
3,54,12,75,5,1
3,55,6,46,15,1
3,55,6,73,15,1
3,55,12,53,11,1
3,56,6,61,10,1
3,56,12,65,5,1
3,57,6,47,15,1
3,57,6,75,7,1
3,57,12,54,10,1
3,58,3,73,2,1
3,58,6,63,11,1
3,58,6,75,3,1
3,58,12,75,3,1
3,59,1,66,5,1
3,59,6,42,14,1
3,59,6,73,5,1
3,59,12,49,12,1
3,60,6,58,12,1
3,60,6,66,7,1
3,60,12,70,5,1
3,61,1,66,6,1
3,61,6,44,18,1
3,61,6,68,7,1
3,61,12,51,14,1
3,62,3,66,5,1
3,62,6,59,7,1
3,62,6,63,6,1
3,62,12,66,6,1
3,62,12,70,6,1
3,63,6,49,18,1
3,63,6,68,16,1
3,63,12,56,14,1
3,64,6,61,8,1
3,64,12,68,7,1
3,65,6,42,15,1
3,65,6,73,5,1
3,65,12,49,14,1
3,65,12,58,7,1
3,66,3,70,2,1
3,66,6,61,15,1
3,66,6,73,7,1
3,66,12,58,8,1
3,66,12,70,6,1
3,67,6,41,15,1
3,67,6,73,7,1
3,67,12,56,7,1
3,68,6,61,11,1
3,68,6,73,5,1
3,68,12,56,7,1
3,68,12,80,4,1
3,69,6,39,14,1
3,69,6,78,6,1
3,69,12,46,12,1
3,70,3,80,2,1
3,70,6,54,7,1
3,70,6,82,6,1
3,70,12,58,6,1
3,70,12,78,4,1
3,71,6,46,14,1
3,71,6,77,9,1
3,71,12,53,12,1
3,72,6,61,12,1
3,72,6,78,6,1
3,72,12,65,6,1
3,73,3,77,3,1
3,73,6,47,15,1
3,73,6,75,6,1
3,73,12,59,12,1
3,74,3,73,4,1
3,74,6,61,8,1
3,74,6,78,6,1
3,74,12,66,5,1
3,74,12,75,6,1
3,75,6,46,15,1
3,75,6,73,7,1
3,75,12,53,12,1
3,76,6,61,7,1
3,76,6,78,6,1
3,76,12,65,7,1
3,76,12,77,5,1
3,77,6,44,15,1
3,77,6,75,5,1
3,77,12,51,12,1
3,78,3,73,4,1
3,78,6,59,8,1
3,78,6,75,4,1
3,78,12,66,7,1
3,78,12,78,4,1
3,79,6,49,14,1
3,79,6,65,14,1
3,79,6,80,9,1
3,79,12,56,9,1
3,80,6,68,7,1
3,80,6,82,4,1
3,80,9,80,4,1
3,80,12,65,5,1
3,80,12,78,4,1
3,81,3,80,2,1
3,81,6,42,14,1
3,81,6,82,6,1
3,81,12,49,10,1
3,82,3,80,3,1
3,82,6,58,12,1
3,82,6,61,18,1
3,82,6,78,3,1
3,82,12,85,3,1
3,83,6,41,15,1
3,83,6,80,8,1
3,83,12,48,11,1
3,84,6,56,8,1
3,84,6,61,7,1
3,84,6,82,3,1
3,84,9,80,4,1
3,84,12,78,2,1
3,85,3,80,3,1
3,85,6,39,14,1
3,85,6,54,10,1
3,85,6,58,11,1
3,85,6,78,7,1
3,85,12,46,12,1
3,86,3,77,3,1
3,86,6,54,6,1
3,86,6,58,6,1
3,86,6,75,4,1
3,86,12,51,5,1
3,86,12,82,4,1
3,87,6,46,13,1
3,87,6,61,11,1
3,87,6,65,11,1
3,87,6,77,8,1
3,87,12,53,11,1
3,88,6,61,6,1
3,88,6,65,6,1
3,88,6,78,6,1
3,89,3,77,4,1
3,89,6,47,13,1
3,89,6,63,10,1
3,89,6,75,7,1
3,89,9,59,9,1
3,90,3,73,2,1
3,90,6,63,9,1
3,90,6,66,8,1
3,90,6,87,2,1
3,90,12,87,3,1
3,91,6,46,14,1
3,91,6,61,11,1
3,91,6,65,11,1
3,91,6,85,10,1
3,91,12,53,11,1
3,92,6,61,5,1
3,92,6,65,5,1
3,92,6,82,7,1
3,92,12,85,7,1
3,93,6,44,14,1
3,93,6,59,11,1
3,93,6,63,11,1
3,93,6,83,6,1
3,93,12,47,11,1
3,94,3,80,3,1
3,94,6,59,6,1
3,94,6,63,5,1
3,94,6,78,3,1
3,94,12,75,4,1
3,95,6,37,15,1
3,95,6,53,11,1
3,95,6,56,11,1
3,95,6,80,6,1
3,95,12,44,12,1
3,96,6,53,4,1
3,96,6,56,5,1
3,96,6,82,4,1
3,96,9,49,8,1
3,96,9,80,4,1
3,96,12,53,3,1
3,96,12,56,3,1
3,96,12,78,4,1
3,97,3,80,2,1
3,97,6,42,15,1
3,97,6,58,11,1
3,97,6,61,11,1
3,97,6,82,6,1
3,97,12,49,16,1
3,98,3,80,3,1
3,98,6,58,11,1
3,98,6,61,11,1
3,98,6,78,3,1
3,98,12,85,3,1
3,99,6,41,15,1
3,99,6,56,10,1
3,99,6,61,10,1
3,99,6,80,8,1
3,99,12,49,10,1
3,100,6,56,7,1
3,100,6,61,6,1
3,100,6,82,3,1
3,100,9,80,4,1
3,100,12,78,2,1
3,101,3,80,3,1
3,101,6,39,14,1
3,101,6,54,11,1
3,101,6,58,11,1
3,101,6,78,7,1
3,101,12,46,12,1
3,102,3,77,3,1
3,102,6,54,6,1
3,102,6,58,6,1
3,102,6,75,4,1
3,102,12,51,6,1
3,102,12,78,6,1
3,103,6,46,15,1
3,103,6,61,11,1
3,103,6,65,11,1
3,103,6,85,5,1
3,103,12,53,14,1
3,103,12,82,6,1
3,104,6,61,11,1
3,104,6,65,8,1
3,104,6,82,7,1
3,104,12,58,2,1
3,105,3,80,2,1
3,105,6,47,15,1
3,105,6,63,10,1
3,105,6,78,3,1
3,105,12,75,5,1
3,106,6,63,7,1
3,106,6,66,7,1
3,106,6,82,7,1
3,107,3,80,2,1
3,107,6,46,14,1
3,107,6,61,11,1
3,107,6,65,11,1
3,107,6,78,4,1
3,107,12,53,10,1
3,107,12,73,8,1
3,108,6,61,5,1
3,108,6,65,5,1
3,108,12,75,4,1
3,109,3,77,2,1
3,109,6,44,15,1
3,109,6,59,11,1
3,109,6,63,10,1
3,109,6,78,4,1
3,109,12,75,7,1
3,110,6,59,7,1
3,110,6,63,6,1
3,110,6,78,5,1
3,110,12,82,3,1
3,111,6,49,15,1
3,111,6,65,11,1
3,111,6,68,11,1
3,111,6,85,6,1
3,111,12,56,12,1
3,112,3,82,3,1
3,112,6,61,5,1
3,112,6,65,7,1
3,112,6,68,7,1
3,112,6,78,5,1
3,112,12,75,4,1
3,113,3,82,2,1
3,113,3,85,3,1
3,113,5,42,21,1
3,113,6,78,23,1
3,113,6,90,2,1
3,113,12,49,20,1
3,114,6,54,18,1
3,114,6,56,7,1
3,114,12,58,15,1
3,114,12,82,5,1
3,115,1,58,15,1
3,115,3,85,3,1
3,115,6,66,19,1
3,115,6,70,9,1
3,115,6,89,12,1
3,115,12,73,8,1
3,116,6,61,12,1
3,116,6,77,7,1
3,116,12,58,6,1
3,116,12,78,6,1
3,116,12,82,3,1
3,117,3,89,2,1
3,117,6,48,23,1
3,117,6,60,8,1
3,117,6,87,14,1
3,117,12,68,7,1
3,118,1,54,21,1
3,118,6,60,12,1
3,118,6,72,7,1
3,118,12,63,19,1
3,118,12,68,6,1
3,119,3,82,3,1
3,119,4,85,3,1
3,119,5,90,11,1
3,119,6,66,18,1
3,119,6,75,9,1
3,120,6,60,10,1
3,120,6,80,4,1
3,120,9,82,3,1
3,120,12,85,1,1
3,121,3,87,1,1
3,121,6,47,14,1
3,121,6,59,15,1
3,121,6,63,7,1
3,121,6,66,12,1
3,121,6,90,5,1
3,121,12,59,12,1
3,121,12,66,6,1
3,122,3,87,3,1
3,122,5,63,12,1
3,122,6,71,6,1
3,122,6,90,3,1
3,122,11,66,3,1
3,122,12,66,6,1
3,122,12,97,3,1
3,123,5,49,18,1
3,123,5,65,13,1
3,123,6,61,14,1
3,123,6,68,18,1
3,123,6,94,5,1
3,123,11,56,14,1
3,123,12,68,11,1
3,123,12,92,4,1
3,124,5,61,12,1
3,124,6,73,5,1
3,124,6,90,3,1
3,124,9,87,3,1
3,124,11,65,6,1
3,125,6,54,19,1
3,125,6,90,18,1
3,125,12,61,21,1
3,126,6,66,20,1
3,126,12,71,5,1
3,127,6,70,17,1
3,129,6,42,17,1
3,129,6,58,14,1
3,129,6,61,14,1
3,129,6,73,6,1
3,129,12,49,14,1
3,130,3,70,4,1
3,130,6,54,11,1
3,130,6,73,6,1
3,130,12,58,7,1
3,130,12,70,7,1
3,131,6,41,15,1
3,131,6,73,8,1
3,131,12,56,10,1
3,132,6,61,10,1
3,132,6,73,5,1
3,132,12,56,6,1
3,132,12,80,5,1
3,133,6,51,15,1
3,133,6,78,8,1
3,133,12,58,12,1
3,134,3,70,2,1
3,134,6,63,6,1
3,134,6,70,6,1
3,134,12,66,7,1
3,134,12,75,5,1
3,135,6,46,15,1
3,135,6,73,15,1
3,135,12,53,11,1
3,136,6,61,10,1
3,136,12,65,5,1
3,137,6,47,15,1
3,137,6,75,7,1
3,137,12,54,10,1
3,138,3,73,2,1
3,138,6,63,11,1
3,138,6,75,3,1
3,138,12,75,3,1
3,139,1,66,5,1
3,139,6,42,14,1
3,139,6,73,5,1
3,139,12,49,12,1
3,140,6,58,12,1
3,140,6,66,7,1
3,140,12,70,5,1
3,141,1,66,6,1
3,141,6,44,18,1
3,141,6,68,7,1
3,141,12,51,14,1
3,142,3,66,5,1
3,142,6,59,7,1
3,142,6,63,6,1
3,142,12,66,6,1
3,142,12,70,6,1
3,143,6,49,18,1
3,143,6,68,16,1
3,143,12,56,14,1
3,144,6,61,8,1
3,144,12,68,7,1
3,145,6,42,15,1
3,145,6,73,5,1
3,145,12,49,14,1
3,145,12,58,7,1
3,146,3,70,2,1
3,146,6,61,15,1
3,146,6,73,7,1
3,146,12,58,8,1
3,146,12,70,6,1
3,147,6,41,15,1
3,147,6,73,7,1
3,147,12,56,7,1
3,148,6,61,11,1
3,148,6,73,5,1
3,148,12,56,7,1
3,148,12,80,4,1
3,149,6,39,14,1
3,149,6,78,6,1
3,149,12,46,12,1
3,150,3,80,2,1
3,150,6,54,7,1
3,150,6,82,6,1
3,150,12,58,6,1
3,150,12,78,4,1
3,151,6,46,14,1
3,151,6,77,9,1
3,151,12,53,12,1
3,152,6,61,12,1
3,152,6,78,6,1
3,152,12,65,6,1
3,153,3,77,3,1
3,153,6,47,15,1
3,153,6,75,6,1
3,153,12,59,12,1
3,154,3,73,4,1
3,154,6,61,8,1
3,154,6,78,6,1
3,154,12,66,5,1
3,154,12,75,6,1
3,155,6,46,15,1
3,155,6,73,7,1
3,155,12,53,12,1
3,156,6,61,7,1
3,156,6,78,6,1
3,156,12,65,7,1
3,156,12,77,5,1
3,157,6,44,15,1
3,157,6,75,5,1
3,157,12,51,12,1
3,158,3,73,4,1
3,158,6,59,8,1
3,158,6,75,4,1
3,158,12,66,7,1
3,158,12,78,4,1
3,159,6,49,14,1
3,159,6,65,14,1
3,159,6,80,9,1
3,159,12,56,9,1
3,160,6,68,7,1
3,160,6,82,4,1
3,160,9,80,4,1
3,160,12,65,5,1
3,160,12,78,4,1
3,161,3,80,2,1
3,161,6,42,14,1
3,161,6,82,6,1
3,161,12,49,10,1
3,162,3,80,3,1
3,162,6,58,12,1
3,162,6,61,18,1
3,162,6,78,3,1
3,162,12,85,3,1
3,163,6,41,15,1
3,163,6,80,8,1
3,163,12,48,11,1
3,164,6,56,8,1
3,164,6,61,7,1
3,164,6,82,3,1
3,164,9,80,4,1
3,164,12,78,2,1
3,165,3,80,3,1
3,165,6,39,14,1
3,165,6,54,10,1
3,165,6,58,11,1
3,165,6,78,7,1
3,165,12,46,12,1
3,166,3,77,3,1
3,166,6,54,6,1
3,166,6,58,6,1
3,166,6,75,4,1
3,166,12,51,5,1
3,166,12,82,4,1
3,167,6,46,13,1
3,167,6,61,11,1
3,167,6,65,11,1
3,167,6,77,8,1
3,167,12,53,11,1
3,168,6,61,6,1
3,168,6,65,6,1
3,168,6,78,6,1
3,169,3,77,4,1
3,169,6,47,13,1
3,169,6,63,10,1
3,169,6,75,7,1
3,169,9,59,9,1
3,170,3,73,2,1
3,170,6,63,9,1
3,170,6,66,8,1
3,170,6,87,2,1
3,170,12,87,3,1
3,171,6,46,14,1
3,171,6,61,11,1
3,171,6,65,11,1
3,171,6,85,10,1
3,171,12,53,11,1
3,172,6,61,5,1
3,172,6,65,5,1
3,172,6,82,7,1
3,172,12,85,7,1
3,173,6,44,14,1
3,173,6,59,11,1
3,173,6,63,11,1
3,173,6,83,6,1
3,173,12,47,11,1
3,174,3,80,3,1
3,174,6,59,6,1
3,174,6,63,5,1
3,174,6,78,3,1
3,174,12,75,4,1
3,175,6,37,15,1
3,175,6,53,11,1
3,175,6,56,11,1
3,175,6,80,6,1
3,175,12,44,12,1
3,176,6,53,4,1
3,176,6,56,5,1
3,176,6,82,4,1
3,176,9,49,8,1
3,176,9,80,4,1
3,176,12,53,3,1
3,176,12,56,3,1
3,176,12,78,4,1
3,177,3,80,2,1
3,177,6,42,15,1
3,177,6,58,11,1
3,177,6,61,11,1
3,177,6,82,6,1
3,177,12,49,16,1
3,178,3,80,3,1
3,178,6,58,11,1
3,178,6,61,11,1
3,178,6,78,3,1
3,178,12,85,3,1
3,179,6,41,15,1
3,179,6,56,10,1
3,179,6,61,10,1
3,179,6,80,8,1
3,179,12,49,10,1
3,180,6,56,7,1
3,180,6,61,6,1
3,180,6,82,3,1
3,180,9,80,4,1
3,180,12,78,2,1
3,181,3,80,3,1
3,181,6,39,14,1
3,181,6,54,11,1
3,181,6,58,11,1
3,181,6,78,7,1
3,181,12,46,12,1
3,182,3,77,3,1
3,182,6,54,6,1
3,182,6,58,6,1
3,182,6,75,4,1
3,182,12,51,6,1
3,182,12,78,6,1
3,183,6,46,15,1
3,183,6,61,11,1
3,183,6,65,11,1
3,183,6,85,5,1
3,183,12,53,14,1
3,183,12,82,6,1
3,184,6,61,11,1
3,184,6,65,8,1
3,184,6,82,7,1
3,185,3,80,2,1
3,185,6,47,15,1
3,185,6,63,10,1
3,185,6,78,3,1
3,185,12,75,5,1
3,186,6,63,7,1
3,186,6,66,7,1
3,186,6,82,7,1
3,187,3,80,2,1
3,187,6,46,14,1
3,187,6,61,11,1
3,187,6,65,11,1
3,187,6,78,4,1
3,187,12,53,10,1
3,187,12,73,8,1
3,188,6,61,5,1
3,188,6,65,5,1
3,188,12,75,4,1
3,189,3,77,2,1
3,189,6,44,15,1
3,189,6,59,11,1
3,189,6,63,10,1
3,189,6,78,4,1
3,189,12,75,7,1
3,190,6,59,7,1
3,190,6,63,6,1
3,190,6,78,5,1
3,190,12,82,3,1
3,191,6,49,16,1
3,191,6,65,11,1
3,191,6,68,11,1
3,191,6,85,6,1
3,191,12,56,13,1
3,192,3,82,3,1
3,192,6,61,5,1
3,192,6,65,8,1
3,192,6,68,8,1
3,192,6,78,5,1
3,192,9,73,3,1
3,192,12,75,4,1
3,192,12,78,4,1
3,193,3,80,4,1
3,193,6,42,15,1
3,193,6,58,14,1
3,193,6,61,14,1
3,193,6,78,23,1
3,193,6,82,13,1
3,193,12,49,19,1
3,194,6,54,4,1
3,194,12,58,2,1
3,194,12,61,5,1
3,194,12,85,4,1
3,195,6,41,15,1
3,195,6,56,11,1
3,195,6,61,11,1
3,195,6,80,11,1
3,196,6,56,11,1
3,196,6,61,11,1
3,197,6,39,16,1
3,197,6,78,13,1
3,197,12,46,13,1
3,198,6,54,9,1
3,198,6,58,8,1
3,198,12,51,3,1
3,198,12,90,4,1
3,199,6,46,14,1
3,199,6,89,8,1
3,199,12,53,12,1
3,200,6,61,11,1
3,200,6,65,12,1
3,200,6,85,9,1
3,201,6,47,13,1
3,201,6,54,14,1
3,201,6,59,5,1
3,201,6,63,9,1
3,201,6,66,10,1
3,201,6,87,13,1
3,201,12,59,5,1
3,202,6,63,6,1
3,202,6,66,6,1
3,202,12,90,4,1
3,203,6,46,16,1
3,203,6,61,10,1
3,203,6,65,10,1
3,203,6,85,14,1
3,203,12,53,13,1
3,204,6,61,5,1
3,204,6,65,5,1
3,204,6,82,10,1
3,204,12,58,2,1
3,205,6,44,14,1
3,205,6,59,10,1
3,205,6,63,10,1
3,205,6,80,7,1
3,205,12,51,12,1
3,206,3,82,6,1
3,206,6,59,6,1
3,206,6,63,6,1
3,206,12,56,6,1
3,206,12,83,3,1
3,207,6,49,13,1
3,207,6,65,11,1
3,207,6,68,11,1
3,207,6,85,12,1
3,207,12,56,7,1
3,208,6,65,6,1
3,208,6,68,6,1
3,208,6,73,6,1
3,208,6,82,4,1
3,208,9,80,4,1
3,208,12,78,4,1
3,209,3,80,2,1
3,209,6,42,14,1
3,209,6,58,15,1
3,209,6,61,15,1
3,209,6,82,6,1
3,209,9,49,14,1
3,210,3,80,3,1
3,210,6,78,3,1
3,210,12,85,3,1
3,211,3,56,15,1
3,211,6,41,15,1
3,211,6,61,15,1
3,211,6,80,8,1
3,211,9,49,13,1
3,212,6,82,3,1
3,212,9,80,4,1
3,212,12,78,2,1
3,213,3,66,14,1
3,213,3,80,3,1
3,213,6,51,13,1
3,213,6,70,13,1
3,213,6,78,7,1
3,213,9,58,11,1
3,214,3,77,3,1
3,214,6,75,4,1
3,214,12,82,4,1
3,215,6,46,14,1
3,215,6,61,15,1
3,215,6,65,14,1
3,215,6,77,8,1
3,216,6,78,6,1
3,217,3,77,4,1
3,217,6,47,15,1
3,217,6,75,7,1
3,217,12,59,11,1
3,218,3,73,2,1
3,218,6,63,11,1
3,218,6,66,11,1
3,218,6,87,2,1
3,218,12,87,3,1
3,219,6,46,15,1
3,219,6,85,10,1
3,220,6,61,6,1
3,220,6,65,6,1
3,220,6,82,7,1
3,220,12,85,7,1
3,221,6,44,14,1
3,221,6,59,14,1
3,221,6,63,14,1
3,221,6,83,6,1
3,222,3,51,7,1
3,222,3,80,3,1
3,222,6,56,8,1
3,222,6,78,3,1
3,222,12,75,4,1
3,223,6,49,17,1
3,223,6,65,11,1
3,223,6,68,11,1
3,223,6,80,6,1
3,223,12,56,13,1
3,224,6,65,10,1
3,224,6,68,10,1
3,224,6,82,4,1
3,224,9,80,4,1
3,224,12,61,2,1
3,224,12,78,4,1
3,225,3,80,2,1
3,225,6,42,15,1
3,225,6,58,11,1
3,225,6,61,11,1
3,225,6,82,6,1
3,225,12,49,16,1
3,226,3,80,3,1
3,226,6,58,11,1
3,226,6,61,11,1
3,226,6,78,3,1
3,226,12,85,3,1
3,227,6,41,15,1
3,227,6,56,10,1
3,227,6,61,10,1
3,227,6,80,8,1
3,227,12,49,10,1
3,228,6,56,7,1
3,228,6,61,6,1
3,228,6,82,3,1
3,228,9,80,4,1
3,228,12,78,2,1
3,229,3,80,3,1
3,229,6,39,14,1
3,229,6,54,11,1
3,229,6,58,11,1
3,229,6,78,7,1
3,229,12,46,12,1
3,230,3,77,3,1
3,230,6,54,6,1
3,230,6,58,6,1
3,230,6,75,4,1
3,230,12,51,6,1
3,230,12,78,6,1
3,231,6,46,15,1
3,231,6,61,11,1
3,231,6,65,11,1
3,231,6,85,5,1
3,231,12,53,14,1
3,231,12,82,6,1
3,232,6,61,11,1
3,232,6,65,8,1
3,232,6,82,7,1
3,233,3,80,2,1
3,233,6,47,15,1
3,233,6,63,10,1
3,233,6,78,3,1
3,233,12,75,5,1
3,234,6,63,7,1
3,234,6,66,7,1
3,234,6,82,7,1
3,235,3,80,2,1
3,235,6,46,14,1
3,235,6,61,11,1
4,0,0,0,0,0
